rse,site,tier,storage_tech,protocol_primary,endpoint_url,capture_method,tracer_status,last_probe_at,last_probe_result,probe_did,notes,contact
T0_CH_CERN_Disk,T0_CH_CERN,0,EOS,root,root://eoscms.cern.ch:1094/,ofs.notify,not_started,,,,,"ogarzonm,bmaier,dmytro,dhsu,cerminar,eliza,ppaparri,jhegeman"
T0_CH_CERN_Disk_Test,T0_CH_CERN,0,EOS,root,root://eoscms.cern.ch:1094/,ofs.notify,not_started,,,,,"ogarzonm,bmaier,dmytro,dhsu,cerminar,eliza,ppaparri,jhegeman"
T0_CH_CERN_Tape,T0_CH_CERN,0,EOS,davs,davs://eosctacms.cern.ch:8444//eos/ctacms/archive/cms/,ofs.notify,not_started,,,,,"ogarzonm,bmaier,dmytro,dhsu,cerminar,eliza,ppaparri,jhegeman"
T0_CH_CERN_Tape_Test,T0_CH_CERN,0,EOS,davs,davs://eosctacms.cern.ch:8444//eos/ctacms/archive/cms/store/test/rucio/,ofs.notify,not_started,,,,,"ogarzonm,bmaier,dmytro,dhsu,cerminar,eliza,ppaparri,jhegeman"
T1_DE_KIT_Disk,T1_DE_KIT,1,dCache,root,root://cmsdcache-kit-disk.gridka.de:1094/,dcache.kafka,not_started,,,,,"nshadski,cwinter,johornun,cversteg,jgaessle,sdaigler,aakhmets,lasowa,rvoncube,doguthma,giffels,jingjing,tvoigtla,rhofsaes,nfalterm"
T1_DE_KIT_Disk_Temp,T1_DE_KIT,1,dCache,root,root://cmsdcache-kit-disk.gridka.de:1094/,dcache.kafka,not_started,,,,,"nshadski,cwinter,johornun,cversteg,jgaessle,sdaigler,aakhmets,lasowa,rvoncube,doguthma,giffels,jingjing,tvoigtla,rhofsaes,nfalterm"
T1_DE_KIT_Disk_Test,T1_DE_KIT,1,dCache,root,root://cmsdcache-kit-disk.gridka.de:1094/,dcache.kafka,not_started,,,,,"nshadski,cwinter,johornun,cversteg,jgaessle,sdaigler,aakhmets,lasowa,rvoncube,doguthma,giffels,jingjing,tvoigtla,rhofsaes,nfalterm"
T1_DE_KIT_Tape,T1_DE_KIT,1,dCache,davs,davs://cmsdcache-kit-tape.gridka.de:2880/,dcache.kafka,not_started,,,,,"nshadski,cwinter,johornun,cversteg,jgaessle,sdaigler,aakhmets,lasowa,rvoncube,doguthma,giffels,jingjing,tvoigtla,rhofsaes,nfalterm"
T1_DE_KIT_Tape_Test,T1_DE_KIT,1,dCache,davs,davs://cmsdcache-kit-tape.gridka.de:2880/pnfs/gridka.de/cms/tape/store/test/rucio/,dcache.kafka,not_started,,,,,"nshadski,cwinter,johornun,cversteg,jgaessle,sdaigler,aakhmets,lasowa,rvoncube,doguthma,giffels,jingjing,tvoigtla,rhofsaes,nfalterm"
T1_ES_PIC_Disk,T1_ES_PIC,1,dCache,root,root://xrootd-cmst1-door.pic.es:1094/,dcache.kafka,not_started,,,,,"aperezca,jflix"
T1_ES_PIC_Disk_Temp,T1_ES_PIC,1,dCache,root,root://xrootd-cmst1-door.pic.es:1094/,dcache.kafka,not_started,,,,,"aperezca,jflix"
T1_ES_PIC_Disk_Test,T1_ES_PIC,1,dCache,root,root://xrootd-cmst1-door.pic.es:1094/,dcache.kafka,not_started,,,,,"aperezca,jflix"
T1_ES_PIC_Tape,T1_ES_PIC,1,dCache,davs,davs://webdav-cms-tape.pic.es:8450/pnfs/pic.es/data/cms/,dcache.kafka,not_started,,,,,"aperezca,jflix"
T1_ES_PIC_Tape_Test,T1_ES_PIC,1,dCache,davs,davs://webdav-cms-tape.pic.es:8450/pnfs/pic.es/data/cms/store/test/rucio/,dcache.kafka,not_started,,,,,"aperezca,jflix"
T1_FR_CCIN2P3_Disk,T1_FR_CCIN2P3,1,XRootD,root,root://ccxrdcms.in2p3.fr:1094/,ofs.notify,not_started,,,,,"sgadrat,mnguyen,dbouvet"
T1_FR_CCIN2P3_Disk_Temp,T1_FR_CCIN2P3,1,XRootD,root,root://ccxrdcms.in2p3.fr:1094/,ofs.notify,not_started,,,,,"sgadrat,mnguyen,dbouvet"
T1_FR_CCIN2P3_Disk_Test,T1_FR_CCIN2P3,1,XRootD,root,root://ccxrdcms.in2p3.fr:1094/,ofs.notify,not_started,,,,,"sgadrat,mnguyen,dbouvet"
T1_FR_CCIN2P3_Tape,T1_FR_CCIN2P3,1,XRootD,root,root://ccxrdcms.in2p3.fr:1094/,ofs.notify,not_started,,,,,"sgadrat,mnguyen,dbouvet"
T1_FR_CCIN2P3_Tape_Test,T1_FR_CCIN2P3,1,dCache,root,root://ccxrdcms.in2p3.fr:1094/,dcache.kafka,not_started,,,,,"sgadrat,mnguyen,dbouvet"
T1_IT_CNAF_Disk,T1_IT_CNAF,1,XRootD,root,root://xrootd-cms.infn.it:1194/,ofs.notify,not_started,,,,,"ecorni,spiga,boccali"
T1_IT_CNAF_Disk_Temp,T1_IT_CNAF,1,XRootD,root,root://xrootd-cms.infn.it:1194/,ofs.notify,not_started,,,,,"ecorni,spiga,boccali"
T1_IT_CNAF_Disk_Test,T1_IT_CNAF,1,XRootD,root,root://xrootd-cms.infn.it:1194/,ofs.notify,not_started,,,,,"ecorni,spiga,boccali"
T1_IT_CNAF_Tape,T1_IT_CNAF,1,unknown,davs,davs://xfer-tape-cms.cr.cnaf.infn.it:8443/cmstape/,unknown,not_started,,,,,"ecorni,spiga,boccali"
T1_IT_CNAF_Tape_Test,T1_IT_CNAF,1,unknown,davs,davs://xfer-tape-cms.cr.cnaf.infn.it:8443/cmstape/store/test/rucio/,unknown,not_started,,,,,"ecorni,spiga,boccali"
